Scheme Name	Net Asset Value
Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW	109.5673
Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - MONTHLY IDCW	117.9433
Aditya Birla Sun Life Banking & PSU Debt Fund  - Direct - Quarterly IDCW	105.1033
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - IDCW	153.7423
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - MONTHLY IDCW	113.582
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - Quarterly IDCW	102.94
Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - monthly IDCW	113.9576
Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - quarterly IDCW	104.089
Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Growth	374.3068
Aditya Birla Sun Life Banking & PSU Debt Fund - Retail Plan-Growth	561.8854
Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth	388.9002
Axis Banking & PSU Debt Fund - Direct Plan - Bonus Option	1532.8272
Axis Banking & PSU Debt Fund - Direct Plan - Daily IDCW	1039.0138
Axis Banking & PSU Debt Fund - Direct Plan - Growth Option	2777.3088
Axis Banking & PSU Debt Fund - Direct Plan - Monthly IDCW	1040.4115
Axis Banking & PSU Debt Fund - Direct Plan - Weekly IDCW	1038.0860
Axis Banking & PSU Debt Fund - Regular Plan - Bonus Option	1289.4075
Axis Banking & PSU Debt Fund - Regular Plan - Daily IDCW	1038.9807
Axis Banking & PSU Debt Fund - Regular Plan - Growth option	2690.9275
Axis Banking & PSU Debt Fund - Regular Plan - Monthly IDCW	1040.1717
Axis Banking & PSU Debt Fund - Regular Plan - Weekly IDCW	1038.0517
Bajaj Finserv Banking and PSU Fund-  Direct Plan-Monthly- IDCW	10.9928
Bajaj Finserv Banking and PSU Fund- Direct Plan- IDCW	11.7724
Bajaj Finserv Banking and PSU Fund- Regular Plan- Growth	11.6463
Bajaj Finserv Banking and PSU Fund- Regular Plan- IDCW	11.6463
Bajaj Finserv Banking and PSU Fund-Direct Plan- Growth	11.7724
Bajaj Finserv Banking and PSU Fund-Regular Plan-Monthly-IDCW	10.9223
Bandhan Banking and PSU Fund - Direct Annual IDCW	12.5766
Bandhan Banking and PSU Fund - Direct Daily IDCW	10.4768
Bandhan Banking and PSU Fund - Direct Fortnightly IDCW	10.4541
Bandhan Banking and PSU Fund - Direct Growth	25.8406
Bandhan Banking and PSU Fund - Direct IDCW	13.5928
Bandhan Banking and PSU Fund - Direct Monthly IDCW	10.4853
Bandhan Banking and PSU Fund - Direct Quarterly IDCW	10.9740
Bandhan Banking and PSU Fund - Regular Annual IDCW	11.5560
Bandhan Banking and PSU Fund - Regular Daily IDCW	10.8786
Bandhan Banking and PSU Fund - Regular Fortnightly IDCW	10.6095
Bandhan Banking and PSU Fund - Regular Growth	25.0846
Bandhan Banking and PSU Fund - Regular IDCW	13.5456
Bandhan Banking and PSU Fund - Regular Monthly IDCW	10.7286
Bandhan Banking and PSU Fund - Regular Quarterly IDCW	10.8724
Canara Robeco Banking and PSU Debt Fund- Direct Plan- Growth Option	12.4180
Canara Robeco Banking and PSU Debt Fund- Direct Plan- IDCW Payout	10.9404
Canara Robeco Banking and PSU Debt Fund- Regular Plan- Growth Option	12.2995
Canara Robeco Banking and PSU Debt Fund- Regular Plan- IDCW (Payout/ Reinvestment)	10.8503
DSP Banking & PSU Debt Fund - Direct Plan - Growth	25.4239
DSP Banking & PSU Debt Fund - Direct Plan - IDCW	10.7217
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Daily Reinvest	10.1811
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Monthly	10.466
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Quarterly	10.4741
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Weekly	10.1802
DSP Banking & PSU Debt Fund - Regular Plan - Growth	24.533
DSP Banking & PSU Debt Fund - Regular Plan - IDCW	10.7036
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Daily Reinvest	10.1807
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Monthly	10.4531
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Quarterly	10.4657
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Weekly	10.1801
Edelweiss Banking and PSU Debt Fund - Direct Plan - Growth Option	26.0575
Edelweiss Banking and PSU Debt Fund - Direct Plan - IDCW Option	18.9409
Edelweiss Banking and PSU Debt Fund - Direct Plan Fortnightly - IDCW Option	14.5083
Edelweiss Banking and PSU Debt Fund - Direct Plan Monthly - IDCW Option	10.9815
Edelweiss Banking and PSU Debt Fund - Direct Plan weekly - IDCW Option	10.5521
Edelweiss Banking and PSU Debt Fund - Regular Plan - Growth Option	25.1233
Edelweiss Banking and PSU Debt Fund - Regular Plan - IDCW Option	18.067
Edelweiss Banking and PSU Debt Fund - Regular Plan Fortnightly - IDCW Option	14.0361
Edelweiss Banking and PSU Debt Fund - Regular Plan Monthly - IDCW Option	11.2274
Edelweiss Banking and PSU Debt Fund - Regular Plan Weekly - IDCW Option	10.1471
Franklin India Banking & PSU Debt Fund - Direct - Growth	24.0056
Franklin India Banking & PSU Debt Fund - Growth	22.9540
Franklin India Banking and PSU Debt Fund - Direct - IDCW	11.5464
Franklin India Banking and PSU Debt Fund - IDCW	10.9213
HDFC Banking and PSU Debt Fund - Growth Option	23.4919
HDFC Banking and PSU Debt Fund - Growth Option - Direct Plan	24.4912
HDFC Banking and PSU Debt Fund - IDCW Option	10.2522
HDFC Banking and PSU Debt Fund - IDCW Option - Direct Plan	10.033
HSBC Banking and PSU Debt Fund - Direct Daily IDCW	11.1902
HSBC Banking and PSU Debt Fund - Direct Growth	26.1256
HSBC Banking and PSU Debt Fund - Direct Monthly IDCW	11.3816
HSBC Banking and PSU Debt Fund - Direct Weekly IDCW	10.3448
HSBC Banking and PSU Debt Fund - Regular Daily IDCW	11.1151
HSBC Banking and PSU Debt Fund - Regular Growth	24.7791
HSBC Banking and PSU Debt Fund - Regular Monthly IDCW	10.6283
HSBC Banking and PSU Debt Fund - Regular Weekly IDCW	10.3177
ICICI Prudential Banking and PSU Debt Fund -  Daily IDCW	10.0549
ICICI Prudential Banking and PSU Debt Fund -  Weekly IDCW	10.2427
ICICI Prudential Banking and PSU Debt Fund - Bonus	15.8889
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Daily IDCW	10.2538
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Growth	34.8651
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Quarterly IDCW	13.0394
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Weekly IDCW	10.3708
ICICI Prudential Banking and PSU Debt Fund - Direct Plan Bonus	13.8665
ICICI Prudential Banking and PSU Debt Fund - Direct Plan Half Yearly IDCW Option	13.1098
ICICI Prudential Banking and PSU Debt Fund - Growth	33.4112
ICICI Prudential Banking and PSU Debt Fund - Quarterly IDCW	11.0368
ICICI Prudential Banking and PSU Debt Fund Half Yearly IDCW Option	12.9261
ICICI Prudential Banking and PSU Debt Fund Retail Daily Dividend	10.0122
ICICI Prudential Banking and PSU Debt Fund Retail Growth	21.631
ICICI Prudential Banking and PSU Debt Fund Retail Weekly Dividend	10.3305
Invesco India Banking and PSU Fund - Daily IDCW (Reinvestment)	1051.1843
Invesco India Banking and PSU Fund - Direct Plan -  Growth Option	2475.5568
Invesco India Banking and PSU Fund - Direct Plan - Daily IDCW (Reinvestment)	1064.3474
